J000,抜歯手術,310000110,抜歯手術（１歯につき）（乳歯）,130,2667753,4328,687580,617091,13951,3114,2370,1853,1555,1299,959,568,384,287,227,166,146,51,-,-,3535,750649,543979,16216,4746,3239,2375,1940,1645,1235,723,493,330,266,233,139,56,10,-
J000,抜歯手術,310000210,抜歯手術（１歯につき）（前歯）,155,2850902,138,6831,2154,2138,2965,4873,8027,15600,32578,60717,80795,106265,140599,203985,231815,218410,164921,95042,33741,50,2481,1560,1970,2803,3728,5380,9269,18555,37690,55090,78694,112784,184837,234499,251036,216355,147636,74891
J000,抜歯手術,310000310,抜歯手術（１歯につき）（臼歯）,265,8371147,-,372,8262,46502,187775,249118,238152,230873,268207,328539,321044,334130,358831,431239,432029,360217,235072,114903,36203,-,545,15782,61500,253706,295591,238168,209866,221595,275797,282373,294795,327409,413506,436402,384665,264751,149807,63420
J000,抜歯手術,310000510,抜歯手術（１歯につき）（埋伏歯）,1050,798980,86,6091,2720,34231,63613,62219,50833,37910,28617,20709,11888,7525,4812,3593,2699,1829,764,338,70,24,2112,2807,49172,113147,98671,65246,43919,29892,21003,12950,7603,4501,3106,2002,1324,557,297,100
J000,抜歯手術,310029150,歯の破折片除去,30,227029,372,1573,829,749,1211,1856,2484,3445,4815,6569,7109,7931,9345,12417,14321,14312,10345,5148,1608,227,1269,704,774,1489,1921,2453,3373,4886,6632,7180,8092,10221,14251,16966,17289,12811,7096,2956
J000-2,歯根分割掻爬術,310029250,歯根分割掻爬術,260,27739,-,-,17,41,137,225,369,566,935,1319,1327,1287,1250,1513,1510,1351,879,287,68,-,-,19,36,119,224,314,553,872,1402,1553,1495,1632,1776,1863,1569,874,289,66
J000-3,上顎洞陥入歯等除去術,310029350,上顎洞陥入歯等除去術（抜歯窩から行う場合）,470,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J000-3,上顎洞陥入歯等除去術,310029450,上顎洞陥入歯等除去術（犬歯窩開さくにより行う場合）,2000,125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-
J001,ヘミセクション（分割抜歯）,310000710,ヘミセクション（分割抜歯）,470,226189,-,-,52,219,607,1062,2020,3667,6772,10782,12052,12652,13044,14316,13762,10949,6095,2146,475,-,-,51,212,626,1114,1911,3568,6498,10570,12502,13322,13613,15508,15146,11851,6199,2253,556
J002,抜歯窩再掻爬手術,310000810,抜歯窩再掻爬手術,130,68338,-,50,74,477,1071,1589,1805,1817,2059,2281,2202,2249,2251,2932,3145,2957,2080,1022,326,-,26,86,662,1857,2464,2286,2153,2303,2596,2302,2149,2524,3357,3873,3989,3031,1707,579
J003,歯根嚢胞摘出手術,310000910,歯根嚢胞摘出手術（歯冠大のもの）,800,196602,-,44,105,381,947,2029,2743,3903,6162,8574,9099,9416,9008,9994,10277,8740,5463,2519,667,-,30,108,384,1157,1841,2499,3647,5901,8939,10485,10822,10635,12742,13602,11549,7497,3535,1154
J003,歯根嚢胞摘出手術,310001010,歯根嚢胞摘出手術（拇指頭大のもの）,1350,14115,-,-,19,87,148,208,301,431,643,767,816,746,573,626,526,458,239,100,27,-,-,10,51,137,196,269,400,558,735,863,840,752,753,763,504,341,165,57
J003,歯根嚢胞摘出手術,310031710,歯根嚢胞摘出手術（鶏卵大のもの）,2040,148,-,-,-,-,-,-,-,-,-,15,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-
J004,歯根端切除手術,310001110,歯根端切除手術（１歯につき）（２以外の場合）,1350,62996,-,-,82,223,346,673,1044,1479,2242,2729,2897,2741,2294,2488,2268,1583,790,311,58,-,-,60,207,497,859,1234,1983,3067,4204,4850,4617,4133,4474,3994,2668,1295,500,103
J004,歯根端切除手術,310029650,根管外突出異物除去（１回につき）,1350,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J004,歯根端切除手術,310029750,顎骨内異物除去（１回につき）,1350,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
J004,歯根端切除手術,310033010,歯根端切除手術（１歯につき）（歯科用３次元エックス線断層撮影装置及び手術用顕微鏡を用いた場合）,2000,10510,-,-,-,34,58,99,190,274,433,494,488,484,360,337,274,202,97,35,-,-,-,-,28,102,172,295,408,681,809,873,875,662,657,555,320,138,49,-
J004-2,歯の再植術,310001250,歯の再植による根尖病巣の治療,1300,1428,-,-,-,-,10,21,28,33,61,60,51,61,56,45,45,14,-,-,-,-,-,-,-,13,26,53,55,93,150,118,108,87,73,74,40,11,-,-
J004-2,歯の再植術,310001310,歯の再植術,1300,19672,2366,1911,1628,1343,410,267,231,298,309,360,295,267,225,241,273,237,165,90,24,1436,1246,671,420,290,226,207,264,385,412,446,434,373,467,482,456,307,168,42
J004-3,歯の移植手術,310001410,歯の移植手術,1300,10761,12,-,-,124,448,598,604,604,626,586,407,316,203,159,97,36,-,-,-,-,-,-,139,642,859,738,761,780,743,528,336,195,100,61,27,-,-,-
J006,歯槽骨整形手術、骨瘤除去手術,310001510,歯槽骨整形手術,110,66102,-,20,17,52,163,323,386,533,873,1290,1491,2235,3004,4496,5575,5727,4006,2082,702,-,-,-,29,151,197,318,333,574,868,1253,1788,2573,4415,5728,6019,4841,2932,1088
J006,歯槽骨整形手術、骨瘤除去手術,310001610,骨瘤除去手術,110,12138,-,25,20,10,14,44,100,97,218,299,375,494,574,1035,1221,1079,683,364,72,-,18,-,-,32,50,108,115,199,198,254,359,429,664,937,967,618,323,129
J006,歯槽骨整形手術、骨瘤除去手術,310029850,歯肉剥離による根管側壁、髄室側壁又は髄床底の穿孔封鎖,110,1009,-,-,-,-,-,12,37,23,47,36,46,35,44,40,24,40,19,-,-,-,-,-,-,10,25,23,31,47,71,77,59,54,71,49,42,11,-,-
J008,歯肉、歯槽部腫瘍手術（エプーリスを含む。）,310001810,歯肉、歯槽部腫瘍手術（エプーリスを含む。）（軟組織に限局するもの）,600,16545,23,159,204,173,148,157,151,230,318,474,456,536,612,749,849,766,584,261,83,25,159,245,216,229,275,309,380,392,532,676,640,712,969,1200,1131,870,484,168
J008,歯肉、歯槽部腫瘍手術（エプーリスを含む。）,310001910,歯肉、歯槽部腫瘍手術（エプーリスを含む。）（硬組織に及ぶもの）,1300,1881,-,13,36,28,14,20,23,22,35,46,47,61,78,95,102,74,76,19,-,-,18,34,23,23,35,33,39,54,79,72,76,75,88,136,122,98,56,23
J009,浮動歯肉切除術,310002010,浮動歯肉切除術（３分の１顎程度）,400,1227,-,-,-,-,-,-,-,-,-,-,25,24,50,79,126,120,90,49,15,-,-,-,-,-,-,-,-,-,-,14,26,32,82,96,132,108,52,31
J009,浮動歯肉切除術,310002110,浮動歯肉切除術（２分の１顎程度）,800,283,-,-,-,-,-,-,-,-,-,-,-,-,-,22,30,26,26,13,-,-,-,-,-,-,-,-,-,-,-,-,11,13,17,23,25,23,17,-
